date,amount,description,company,category
2023-11-05,304.24,The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality,Maple Games,Groceries
2023-08-29,189.78,The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality,Maple Games,Groceries
2024-01-24,234.96,Andy shoes are designed to keeping in mind durability as well as trends,Andy's,Groceries
2024-07-28,361.93,The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients,Nat Apple,Fun Money
2024-01-16,481.78,The Football Is Good For Training And Recreational Purposes,Ftbl Co,Utilities
2024-05-02,638.12,The Football Is Good For Training And Recreational Purposes,Ftbl Co,Utilities
2023-12-27,725.51,Boston's most advanced compression wear technology increases muscle oxygenation,Boston,Utilities
2024-01-07,157.48,Carbonite web goalkeeper gloves are ergonomically designed to give easy fit,Carbonite,Groceries
2023-09-28,117.57,Carbonite web goalkeeper gloves are ergonomically designed to give easy fit,Carbonite,Groceries
2024-02-17,431.34,Andy shoes are designed to keeping in mind durability as well as trends,Andy's,Groceries
2024-05-03,336.6,The automobile layout consists of a front-engine design,The Auto,Car Payment
2023-10-23,193.2,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,Ergo Chair,Rent
2024-05-03,648.73,The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes,Nagasaki Lander,Groceries
2024-07-19,982.91,The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality,Maple Games,Groceries
2024-03-30,680.9,The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality,Maple Games,Groceries
2024-01-01,789.93,The automobile layout consists of a front-engine design,The Auto,Car Payment
2023-11-01,55.06,The Football Is Good For Training And Recreational Purposes,Ftbl Co,Utilities
2024-03-13,153.03,The Apollotech B340 is an affordable wireless mouse with reliable connectivity,Apollotech,Income
2024-07-15,148.59,The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes,Nagasaki Lander,Groceries
2024-07-03,50.9,Boston's most advanced compression wear technology increases muscle oxygenation,Boston,Utilities
2024-04-04,371.46,Boston's most advanced compression wear technology increases muscle oxygenation,Boston,Utilities
2024-01-11,64.33,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,Ergo Chair,Rent
2023-11-07,872.33,The Apollotech B340 is an affordable wireless mouse with reliable connectivity,Apollotech,Income
2024-03-02,684.35,The Football Is Good For Training And Recreational Purposes,Ftbl Co,Utilities
2024-07-21,833.62,The Football Is Good For Training And Recreational Purposes,Ftbl Co,Utilities
2024-05-16,658.92,The Football Is Good For Training And Recreational Purposes,Ftbl Co,Utilities
2024-04-02,127.22,The automobile layout consists of a front-engine design,The Auto,Car Payment
2023-09-11,230.92,The automobile layout consists of a front-engine design,The Auto,Car Payment
2024-08-05,165.32,The Apollotech B340 is an affordable wireless mouse with reliable connectivity,Apollotech,Income
2024-07-30,8.25,The Football Is Good For Training And Recreational Purposes,Ftbl Co,Utilities
2024-03-03,455.78,The automobile layout consists of a front-engine design,The Auto,Car Payment
2024-02-12,109.52,The Football Is Good For Training And Recreational Purposes,Ftbl Co,Utilities
2024-07-21,702.93,The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality,Maple Games,Groceries
2024-03-18,749.09,The automobile layout consists of a front-engine design,The Auto,Car Payment
2023-11-23,971.77,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,Ergo Chair,Rent
2024-04-12,76.54,New ABC 13 9370,ABC Co,Income
2024-04-15,438.14,The Football Is Good For Training And Recreational Purposes,Ftbl Co,Utilities
2023-11-24,877.0,New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart,New Fits,Clothes
2024-04-22,760.39,The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes,Nagasaki Lander,Groceries
2024-04-16,601.97,New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart,New Fits,Clothes
2024-05-14,852.96,The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients,Nat Apple,Fun Money
2023-12-29,702.61,The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes,Nagasaki Lander,Groceries
2024-05-05,241.03,Carbonite web goalkeeper gloves are ergonomically designed to give easy fit,Carbonite,Groceries
2023-12-23,585.44,Andy shoes are designed to keeping in mind durability as well as trends,Andy's,Groceries
2023-08-29,139.45,New ABC 13 9370,ABC Co,Income
2024-02-09,285.78,The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients,Nat Apple,Fun Money
2023-12-17,425.68,The automobile layout consists of a front-engine design,The Auto,Car Payment
2023-11-25,958.87,The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes,Nagasaki Lander,Groceries
2024-03-23,179.93,Boston's most advanced compression wear technology increases muscle oxygenation,Boston,Utilities
2024-02-26,985.81,Andy shoes are designed to keeping in mind durability as well as trends,Andy's,Groceries
2024-05-15,674.21,Carbonite web goalkeeper gloves are ergonomically designed to give easy fit,Carbonite,Groceries
2024-06-23,913.41,Boston's most advanced compression wear technology increases muscle oxygenation,Boston,Utilities
2024-08-08,562.37,The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality,Maple Games,Groceries
2024-07-17,670.71,The Apollotech B340 is an affordable wireless mouse with reliable connectivity,Apollotech,Income
2023-08-16,695.97,Andy shoes are designed to keeping in mind durability as well as trends,Andy's,Groceries
2024-06-21,531.4,Boston's most advanced compression wear technology increases muscle oxygenation,Boston,Utilities
2024-06-13,23.12,The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality,Maple Games,Groceries
2024-02-18,169.45,Carbonite web goalkeeper gloves are ergonomically designed to give easy fit,Carbonite,Groceries
2024-05-05,416.18,Andy shoes are designed to keeping in mind durability as well as trends,Andy's,Groceries
2023-11-16,24.85,New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart,New Fits,Clothes
2023-10-16,360.31,The Football Is Good For Training And Recreational Purposes,Ftbl Co,Utilities
2024-01-18,745.91,New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart,New Fits,Clothes
2024-03-28,628.28,Boston's most advanced compression wear technology increases muscle oxygenation,Boston,Utilities
2023-08-14,952.45,Andy shoes are designed to keeping in mind durability as well as trends,Andy's,Groceries
2024-04-09,639.31,New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart,New Fits,Clothes
2024-06-16,455.36,The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes,Nagasaki Lander,Groceries
2024-01-29,962.02,Carbonite web goalkeeper gloves are ergonomically designed to give easy fit,Carbonite,Groceries
2024-01-31,202.83,The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients,Nat Apple,Fun Money
2024-05-24,883.05,New ABC 13 9370,ABC Co,Income
2023-09-02,314.57,The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality,Maple Games,Groceries
2024-03-31,86.48,The Apollotech B340 is an affordable wireless mouse with reliable connectivity,Apollotech,Income
2024-05-23,693.41,The Football Is Good For Training And Recreational Purposes,Ftbl Co,Utilities
2024-07-23,648.01,The Apollotech B340 is an affordable wireless mouse with reliable connectivity,Apollotech,Income
2023-11-02,607.82,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,Ergo Chair,Rent
2023-11-27,323.87,The Football Is Good For Training And Recreational Purposes,Ftbl Co,Utilities
2024-01-30,515.04,New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart,New Fits,Clothes
2024-04-17,298.92,New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart,New Fits,Clothes
2024-05-17,611.47,The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients,Nat Apple,Fun Money
